TRAIL 10ng/ml,,,,,,,
Cell #,Surviving,Time pre-MOMP,Max C8 activity pre-MOMP,Time of Max C8 activity (tau),k,t0,r2 of fit
180,1,Inf,0.00066067,210,3.23E-06,70.3074,0.98831
181,1,Inf,0.0010305,340,1.20E-06,-9.9122,0.98771
182,0,235,0.0044487,235,6.96E-06,44.3696,0.99746
183,0,320,0.0036992,320,4.70E-06,79.9517,0.99876
184,1,Inf,0.00088016,165,5.84E-06,63.6449,0.99724
185,1,Inf,0.00083129,150,9.82E-06,81.5754,0.9459
186,1,Inf,0.0011216,260,1.86E-06,-21.1194,0.99043
187,1,Inf,0.00064246,195,1.73E-06,12.5611,0.99381
188,1,Inf,0.001462,250,3.52E-06,4.2751,0.9956
189,1,Inf,0.00089686,545,9.13E-07,-30,0.90318
190,1,Inf,0.00094765,250,1.94E-06,-2.7899,0.99941
191,1,Inf,0.0006278,400,8.53E-07,-4.4025,0.99382
192,0,320,0.0025219,320,5.55E-06,48.3444,0.99849
193,1,Inf,0.00050985,185,1.59E-06,22.689,0.98788
194,0,115,0.0048492,115,3.22E-05,36.0111,0.99908
195,0,360,0.003811,360,4.72E-06,68.6214,0.99579
196,0,465,0.00080688,465,1.12E-06,-29.9999,0.95228
197,1,Inf,0.00098568,260,2.27E-06,37.0902,0.99417
198,1,Inf,0.0024714,305,5.56E-06,22.4275,0.99669
199,1,Inf,0.002106,220,7.47E-06,43.06,0.99785
200,1,Inf,0.0024533,330,3.06E-06,10.101,0.9958
201,1,Inf,0.00039803,130,5.16E-06,68.9481,0.99534
202,1,Inf,0.0007679,350,1.15E-06,5.3618,0.99618
203,1,Inf,0.00062688,325,1.06E-06,33.4748,0.97932
204,1,Inf,0.00054799,280,1.42E-06,48.3271,0.98913
205,1,Inf,0.00071443,180,1.77E-05,137.8945,0.38302
206,1,Inf,0.00067008,170,4.94E-06,71.1441,0.97536
207,1,Inf,0.0014963,180,7.42E-06,57.3227,0.9988
208,1,Inf,0.0011531,285,2.68E-06,9.9766,0.98906
209,1,Inf,0.002634,435,2.36E-06,41.2168,0.97958
210,1,Inf,0.00081734,370,1.17E-06,-29.9999,0.96759
211,1,Inf,0.0014693,335,2.07E-06,75.674,0.98558
212,1,Inf,0.00038821,310,8.04E-07,5.0729,0.96676
213,0,280,0.0041146,280,6.66E-06,92.4756,0.99567
